2026-05-26 01:32:37,159 | INFO    | portfolio | PSO finished: best_sharpe=0.7899986111075613
2026-05-26 01:32:37,240 | INFO    | portfolio | PSO finished: best_sharpe=0.776002576319365
2026-05-26 01:32:37,271 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025770515997
2026-05-26 01:32:37,287 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025767488976
2026-05-26 01:32:37,307 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025770497776
2026-05-26 01:32:37,318 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025441997875
2026-05-26 01:32:37,329 | INFO    | portfolio | PSO finished: best_sharpe=0.7760021807214663
2026-05-26 01:32:37,341 | INFO    | portfolio | PSO finished: best_sharpe=0.776002555525366
2026-05-26 01:32:37,354 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025544857487
2026-05-26 01:34:21,989 | INFO    | portfolio | Gurobi solved: obj=0.06870083333333332, sharpe=0.9106903733316883
2026-05-26 01:34:22,012 | INFO    | portfolio | PSO finished: best_sharpe=0.7899986111075613
2026-05-26 01:34:22,050 | INFO    | portfolio | PSO finished: best_sharpe=0.776002576319365
2026-05-26 01:34:22,072 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025770515997
2026-05-26 01:34:22,090 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025767488976
2026-05-26 01:34:22,104 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025770497776
2026-05-26 01:34:22,118 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025441997875
2026-05-26 01:34:22,131 | INFO    | portfolio | PSO finished: best_sharpe=0.7760021807214663
2026-05-26 01:34:22,146 | INFO    | portfolio | PSO finished: best_sharpe=0.776002555525366
2026-05-26 01:34:22,159 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025544857487
2026-05-26 01:34:41,283 | INFO    | portfolio | Attempting to fetch market data via yfinance...
2026-05-26 01:34:41,284 | ERROR   | portfolio | yfinance import failed
Traceback (most recent call last):
  File "d:\vscode\SysAnalysisProject\portfolio_pso_gurobi\data\fetch_yfinance.py", line 17, in fetch_market_data
    import yfinance as yf
ModuleNotFoundError: No module named 'yfinance'
2026-05-26 01:34:41,285 | WARNING | portfolio | Falling back to synthetic data generation...
2026-05-26 01:34:41,329 | INFO    | portfolio | Generated synthetic returns and covariance into d:\vscode\SysAnalysisProject\portfolio_pso_gurobi\data
2026-05-26 01:34:41,377 | INFO    | portfolio | Running PSO...
2026-05-26 01:34:41,557 | INFO    | portfolio | PSO finished: best_sharpe=0.4585675706935168
2026-05-26 01:34:44,235 | INFO    | portfolio | Running Gurobi (if available)...
2026-05-26 01:34:44,236 | ERROR   | portfolio | Gurobi import failed
Traceback (most recent call last):
  File "d:\vscode\SysAnalysisProject\portfolio_pso_gurobi\src\gurobi_optimizer.py", line 11, in solve_gurobi_portfolio
    import gurobipy as gp
ModuleNotFoundError: No module named 'gurobipy'
2026-05-26 01:34:44,237 | WARNING | portfolio | Gurobi step skipped: Gurobi not available or import failed: No module named 'gurobipy'
2026-05-26 01:34:44,237 | INFO    | portfolio | Computing baselines...
2026-05-26 01:34:44,940 | INFO    | portfolio | Done. Results in results/ folder.
2026-05-26 01:38:07,007 | INFO    | portfolio | Running PSO...
2026-05-26 01:38:07,246 | INFO    | portfolio | PSO finished: best_sharpe=0.4585675706935168
2026-05-26 01:38:07,840 | INFO    | portfolio | Running Gurobi (if available)...
2026-05-26 01:38:07,841 | WARNING | portfolio | gurobipy not installed or unavailable: No module named 'gurobipy'
2026-05-26 01:38:07,841 | WARNING | portfolio | Gurobi unavailable; skipping Gurobi result output.
2026-05-26 01:38:07,841 | INFO    | portfolio | Computing baselines...
2026-05-26 01:38:08,558 | INFO    | portfolio | Done. Results in results/ folder.
2026-05-27 15:28:33,020 | INFO    | portfolio | Fetched market data and saved to portfolio_pso_gurobi\data
2026-06-08 10:55:41,492 | INFO    | portfolio | Gurobi solved: obj=0.06870083333333332, sharpe=0.9106903733316883
2026-06-08 10:55:41,518 | INFO    | portfolio | PSO finished: best_sharpe=0.7899986111075613
2026-06-08 10:55:41,574 | INFO    | portfolio | PSO finished: best_sharpe=0.776002576319365
2026-06-08 10:55:41,597 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025770515997
2026-06-08 10:55:41,614 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025767488976
2026-06-08 10:55:41,626 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025770497776
2026-06-08 10:55:41,640 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025441997875
2026-06-08 10:55:41,656 | INFO    | portfolio | PSO finished: best_sharpe=0.7760021807214663
2026-06-08 10:55:41,669 | INFO    | portfolio | PSO finished: best_sharpe=0.776002555525366
2026-06-08 10:55:41,683 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025544857487
2026-06-08 10:57:01,891 | INFO    | portfolio | Running PSO...
2026-06-08 10:57:02,164 | INFO    | portfolio | PSO finished: best_sharpe=0.8624003950333554
2026-06-08 10:57:07,684 | INFO    | portfolio | Running Gurobi (if available)...
2026-06-08 10:57:07,902 | INFO    | portfolio | Gurobi solved: obj=0.07310645127604332, sharpe=0.9527437172501657
2026-06-08 10:57:07,905 | INFO    | portfolio | Computing baselines...
2026-06-08 10:57:08,590 | INFO    | portfolio | Done. Results in results/ folder.
2026-06-08 11:01:19,574 | INFO    | portfolio | Running PSO...
2026-06-08 11:01:19,619 | INFO    | portfolio | Gurobi solved: obj=0.06870083333333332, sharpe=0.9106903733316883
2026-06-08 11:01:19,640 | INFO    | portfolio | PSO finished: best_sharpe=0.7899986111075613
2026-06-08 11:01:19,669 | INFO    | portfolio | PSO finished: best_sharpe=0.776002576319365
2026-06-08 11:01:19,682 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025770515997
2026-06-08 11:01:19,695 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025767488976
2026-06-08 11:01:19,714 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025770497776
2026-06-08 11:01:19,728 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025441997875
2026-06-08 11:01:19,741 | INFO    | portfolio | PSO finished: best_sharpe=0.7760021807214663
2026-06-08 11:01:19,757 | INFO    | portfolio | PSO finished: best_sharpe=0.776002555525366
2026-06-08 11:01:19,770 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025544857487
2026-06-08 11:01:19,778 | INFO    | portfolio | PSO finished: best_sharpe=0.8624003950333554
2026-06-08 11:01:20,390 | INFO    | portfolio | Running Gurobi (if available)...
2026-06-08 11:01:20,452 | INFO    | portfolio | Gurobi solved: obj=0.07310645127604332, sharpe=0.9527437172501657
2026-06-08 11:01:20,454 | INFO    | portfolio | Computing baselines...
2026-06-08 11:01:21,022 | INFO    | portfolio | Done. Results in results/ folder.
2026-06-08 11:01:54,680 | INFO    | portfolio | Running PSO...
2026-06-08 11:01:54,858 | INFO    | portfolio | PSO finished: best_sharpe=0.8624003950333554
2026-06-08 11:01:57,094 | INFO    | portfolio | Running Gurobi (if available)...
2026-06-08 11:01:57,095 | WARNING | portfolio | gurobipy not installed or unavailable: No module named 'gurobipy'
2026-06-08 11:01:57,095 | WARNING | portfolio | Gurobi unavailable; skipping Gurobi result output.
2026-06-08 11:01:57,096 | INFO    | portfolio | Computing baselines...
2026-06-08 11:01:58,029 | INFO    | portfolio | Done. Results in results/ folder.
2026-06-08 11:08:00,731 | INFO    | portfolio | Gurobi solved: obj=0.06870083333333332, sharpe=0.9106903733316883
2026-06-08 11:08:00,773 | INFO    | portfolio | PSO finished: best_sharpe=0.7899986111075613
2026-06-08 11:08:00,813 | INFO    | portfolio | PSO finished: best_sharpe=0.776002576319365
2026-06-08 11:08:00,826 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025770515997
2026-06-08 11:08:00,838 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025767488976
2026-06-08 11:08:00,849 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025770497776
2026-06-08 11:08:00,862 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025441997875
2026-06-08 11:08:00,878 | INFO    | portfolio | PSO finished: best_sharpe=0.7760021807214663
2026-06-08 11:08:00,894 | INFO    | portfolio | PSO finished: best_sharpe=0.776002555525366
2026-06-08 11:08:00,914 | INFO    | portfolio | PSO finished: best_sharpe=0.7760025544857487
2026-06-08 11:08:37,787 | WARNING | portfolio | yfinance not installed or could not be imported: No module named 'yfinance'
2026-06-08 11:09:46,863 | WARNING | portfolio | yfinance not installed or could not be imported: No module named 'yfinance'
2026-06-08 11:13:12,779 | WARNING | portfolio | yfinance not installed or could not be imported: No module named 'yfinance'
2026-06-08 11:14:20,621 | INFO    | portfolio | Fetched market data and saved to D:\vscode\SysAnalysisProject\portfolio_pso_gurobi\data
